{214, 06, "Eroski", "mms.eroskimovil.es"}
{214, 06, "DUN", "gprs.pepephone.com"}
{214, 06, "Internet", "gprsmov.pepephone.com"}
{214, 06, "MMS", "mms.pepephone.com"}
{214, 07, "movistar.es", "movistar.es"}
{214, 07, "Conexión", "movistar.es"}
{214, 07, "bouygtel", "mms.bouygtel.Com"}
{214, 07, "Movistar", "telefonica.es", "PAP", "telefonica", "telefonica"}
{214, 07, "Movistar", "telefonica.es"}
{214, 07, "Movistar", "movistar.es", "PAP", "MOVISTAR", "MOVISTAR"}
{214, 07, "Movista", "movistar.es", "CHAP", "MOVISTAR", "MOVISTAR"}
{214, 07, "jazzinternet", "jazzinternet"}
{214, 07, "MMS", "jazzmms"}
{214, 07, "T-2", "internet.t-2.net"}
{214, 08, "Euskaltel", "euskaltelmms.euskaltel.mobi"}
{214, 08, "Euskaltel", "internet.euskaltel.mobi"}
{214, 16, "TeleCable", "internet.telecable.es"}
{214, 16, "TeleCable", "mms.telecable.es"}
{214, 18, "ONO", "internet.ono.com"}
{214, 18, "ONO", "mms.ono.com"}
{214, 19, "internet", "gprs-service.com"}
{214, 19, "simyo", "mms-service.com"}
{214, 21, "Jazztel", "jazzinternet"}
{214, 21, "Jazztel", "jazzmms"}
{214, 22, "Digimobil", "internet.digimobil.es"}
{214, 23, "lycaMobile", "data.lycamobile.es"}
{214, 27, "Truphone", "truphone.com"}
{216, 01, "Telenor", "online"}
{216, 01, "Djuice", "mms"}
{216, 01, "Djuice", "net"}
{216, 01, "Djuice", "wap"}
{216, 30, "Telekom", "internet.telekom"}
{216, 30, "Telekomv6", "internet.v6.telekom"}
{216, 70, "Vodafone", "internet.vodafone.net"}
{216, 70, "Vodafone", "mms.vodafone.net"}
{216, 70, "Vodafone", "vitamax.internet.vodafone.net"}
{216, 70, "Vodafone", "vitamax.wap.vodafone.net"}
{216, 71, "UPC", "Internet.hu.upcmobile.com"}
{216, 71, "UPC", "mms.hu.upcmobile.com"}
{218, 03, "ERONET", "web.eronet.ba"}
{218, 03, "ERONET", "gprs.eronet.ba"}
{218, 03, "MMS", "mms.eronet.ba"}
{218, 05, "mtelgprs", "3g1"}
{218, 05, "mtelmms", "mtelmms"}
{218, 90, "BH", "active.bhmobile.ba"}
{218, 90, "BH", "mms.bhmobile.ba"}
{219, 01, "Internet", "internet.ht.hr"}
{219, 01, "MMS", "mms.htgprs"}
{219, 02, "Tele2", "internet.tele2.hr"}
{219, 02, "TelemachInternet", "telemach.hr", "", "", "", "IPV4V6"}
{219, 10, "Broadband", "data.vip.hr"}
{219, 10, "VIP", "mms.vipnet.hr"}
{219, 10, "internet", "internet", "", "", "", "IPV4V6"}
{220, 01, "Telenor", "internet", "PAP", "telenor", "gprs"}
{220, 01, "Telenor", "mms"}
{220, 02, "Telenor", "internet"}
{220, 02, "Telenor", "mms"}
{220, 03, "mt", "gprswap"}
{220, 03, "mt", "mms"}
{220, 03, "MTS", "gprsinternet"}
{220, 04, "T-Mobile", "mms"}
{220, 04, "T-Mobile", "tmcg-wnw"}
{220, 05, "Vip", "vipmobile"}
